Source,Target,Symbol,Compare Length,Score,Relationship
5217,0,A,2457,0.232802224218323,9.475060000745747e-05
5217,1,AA,2457,0.32327604466991694,0.00013157348175413795
5217,3,AAL,2457,0.30896052601331403,0.00012574705983447865
5217,4,AAMC,1837,0.1975846521342094,0.00010755832995874219
5217,5,AAME,2457,0.09190679155056099,3.740610156717989e-05
5217,6,AAN,2457,0.26231804143443654,0.0001067635496273653
5217,7,AAOI,1640,0.2579317544084909,0.00015727546000517738
5217,8,AAON,2457,0.18059189086609442,7.350097308347351e-05
5217,9,AAP,2457,0.16055251671057913,6.534493964614535e-05
5217,10,AAPL,2457,0.2238116746642026,9.109144267977314e-05
5217,11,AAT,2319,0.14464170676203064,6.237244793533016e-05
5217,12,AAU,2457,0.19987887429503876,8.135078318886397e-05
5217,13,AAWW,2457,0.24865999966296237,0.00010120472106754675
5217,14,AAXN,2457,0.2905064546315696,0.0001182362452712941
5217,15,AB,2457,0.2349725628306677,9.563392870601046e-05
5217,16,ABB,2457,0.15580727415855936,6.341362399615765e-05
5217,17,ABBV,1825,0.13821950984176026,7.573671772151248e-05
5217,18,ABC,2457,0.14026728136511085,5.708884060444072e-05
5217,19,ABCB,2457,0.1951109632063844,7.941024143523988e-05
5217,20,ABEO,2457,0.21682483883735226,8.824779765460003e-05
5217,21,ABEV,2457,0.1331553556657686,5.4194283950251776e-05
5217,22,ABG,2457,0.3331203292852336,0.00013558010959919967
5217,23,ABIO,2457,0.26441140647697725,0.00010761555005167979
5217,24,ABM,2457,0.15140581809154194,6.162222958548715e-05
5217,25,ABMD,2457,0.3059273959310346,0.00012451257465650572
5217,26,ABR,2457,0.14802673103452252,6.0246939777990446e-05
5217,27,ABT,2457,0.09734143875126394,3.961800518976961e-05
5217,28,ABTX,1128,0.09219207302900355,8.173056119592513e-05
5217,29,ABUS,2457,0.4491861012326901,0.0001828189260206309
5217,30,AC,1136,0.06738896205355958,5.9321269413344705e-05
5217,31,ACA,353,0.03548843472107254,0.00010053380940813751
5217,32,ACAD,2457,0.5056765835018864,0.00020581057529584306
5217,34,ACAMU,280,-0.0022858143730087924,-8.163622760745687e-06
5217,35,ACB,2249,0.1323008951417509,5.88265429709875e-05
5217,36,ACBI,1111,0.084853142519028,7.637546581370656e-05
5217,37,ACC,2457,0.12218230318028599,4.972824712262352e-05
5217,38,ACCO,2457,0.27775338181767206,0.00011304573944553197
5217,39,ACEL,269,0.014587099324402402,5.4227135034953164e-05
5217,40,ACER,2457,0.22011394531575268,8.958646532997666e-05
5217,41,ACGL,2457,0.08494217330406037,3.4571499106251674e-05
5217,42,ACGLO,658,0.012491177860503539,1.898355297948866e-05
5217,43,ACGLP,886,0.019095640936479925,2.155264214049653e-05
5217,44,ACH,2457,0.204036262213113,8.304284176357876e-05
5217,45,ACHC,2457,0.1757910016519871,7.154700921936797e-05
5217,46,ACHV,2457,0.3002831940788349,0.00012221538220546802
5217,47,ACIA,978,0.13348703351240945,0.00013648980931739207
5217,48,ACIU,886,0.0922622234904546,0.00010413343509080655
5217,49,ACIW,2457,0.28009356574986854,0.00011399819525839176
5217,50,ACLS,2457,0.42012558932995736,0.0001709912858485785
5217,51,ACM,2457,0.26080475583011115,0.000106147641770497
5217,52,ACMR,606,0.08201908543815044,0.00013534502547549578
5217,53,ACN,2457,0.16995566512610966,6.91720248783515e-05
5217,54,ACNB,2457,0.07350000899156318,2.991453357409979e-05
5217,55,ACOR,2457,0.3367811959379235,0.00013707008381681868
5217,56,ACP,2310,0.09812556222165719,4.247859836435376e-05
5217,57,ACRE,1995,0.17315892124739324,8.679645175307932e-05
5217,58,ACRS,1130,0.11354157448158471,0.00010047926945272983
5217,59,ACRX,2299,0.29483664955222877,0.0001282456065907911
5217,60,ACST,2051,0.21172144447312585,0.0001032283980853856
