Source,Target,Symbol,Compare Length,Score,Relationship
5217,0,A,2427,0.2423180353958352,9.984261862209939e-05
5217,1,AA,2427,0.28034079747512947,0.00011550918725798495
5217,3,AAL,2427,0.2971719590633398,0.00012244415288971563
5217,4,AAMC,1807,0.16288700854705834,9.014222941176444e-05
5217,5,AAME,2427,0.07913830076592202,3.260745808237413e-05
5217,6,AAN,2427,0.22223844266296275,9.1569197636161e-05
5217,7,AAOI,1610,0.2159826412696497,0.00013415070886313646
5217,8,AAON,2427,0.21238495859451303,8.750925364421633e-05
5217,9,AAP,2427,0.14668495514054558,6.043879486631462e-05
5217,10,AAPL,2427,0.21388811338847122,8.812860048968736e-05
5217,11,AAT,2289,0.113022031923861,4.937616073563172e-05
5217,12,AAU,2427,0.12246855220468357,5.0460878535098295e-05
5217,13,AAWW,2427,0.22664396205701945,9.338440958262029e-05
5217,14,AAXN,2427,0.24955362705592468,0.00010282390896412225
5217,15,AB,2427,0.15665099806497296,6.454511663163286e-05
5217,16,ABB,2427,0.14549919193971422,5.9950223296132764e-05
5217,17,ABBV,1795,0.1274770773889567,7.101787041167504e-05
5217,18,ABC,2427,0.1373439905378984,5.659002494350984e-05
5217,19,ABCB,2427,0.1602505064309647,6.602822679479385e-05
5217,20,ABEO,2427,0.18266240562513858,7.526263107751899e-05
5217,21,ABEV,2427,0.1260789323377063,5.1948468206718714e-05
5217,22,ABG,2427,0.29293462818082766,0.00012069823987673163
5217,23,ABIO,2427,0.19758776420305274,8.141234618996817e-05
5217,24,ABM,2427,0.15257113968010225,6.286408721883076e-05
5217,25,ABMD,2427,0.30889416286363547,0.00012727406792898042
5217,26,ABR,2427,0.12213237439991265,5.032236275233319e-05
5217,27,ABT,2427,0.1096474396754168,4.5178178687852e-05
5217,28,ABTX,1098,0.07403546394947243,6.742756279551222e-05
5217,29,ABUS,2427,0.3702657370598744,0.00015256107831061988
5217,30,AC,1106,0.025168534613655768,2.2756360410177004e-05
5217,31,ACA,323,0.031077011479217095,9.621365783039348e-05
5217,32,ACAD,2427,0.48332504447449726,0.0001991450533475473
5217,35,ACB,2219,0.12178925146962097,5.488474604309192e-05
5217,36,ACBI,1081,0.03780791501680936,3.497494451138701e-05
5217,37,ACC,2427,0.0877621324368015,3.616074678071755e-05
5217,38,ACCO,2427,0.2455639927537388,0.00010118005469869749
5217,40,ACER,2427,0.23074514787530015,9.507422656584267e-05
5217,41,ACGL,2427,0.07545088567658989,3.108812759645236e-05
5217,42,ACGLO,628,0.004035973987611284,6.426710171355548e-06
5217,43,ACGLP,856,0.008723435554493564,1.0190929386090611e-05
5217,44,ACH,2427,0.194479968069619,8.013183686428472e-05
5217,45,ACHC,2427,0.1352232784967352,5.571622517376811e-05
5217,46,ACHV,2427,0.25346772272907336,0.00010443663894893834
5217,47,ACIA,948,0.130885359240545,0.00013806472493728376
5217,48,ACIU,856,0.07104884721573464,8.300098973800775e-05
5217,49,ACIW,2427,0.24475728595815124,0.00010084766623739235
5217,50,ACLS,2427,0.38741328515651735,0.00015962640509127208
5217,51,ACM,2427,0.23511490329641035,9.687470263552136e-05
5217,52,ACMR,576,0.06596045701795865,0.00011451468232284488
5217,53,ACN,2427,0.16072865218192317,6.622523781702644e-05
5217,54,ACNB,2427,0.030773060111425374,1.2679464405202049e-05
5217,55,ACOR,2427,0.30804017268027856,0.00012692219723126435
5217,56,ACP,2280,0.05500168414028006,2.412354567556143e-05
5217,57,ACRE,1965,0.07114243601944262,3.620480204551787e-05
5217,58,ACRS,1100,0.06134119866240042,5.5764726056727656e-05
5217,59,ACRX,2269,0.260336573459806,0.00011473625978836756
5217,60,ACST,2021,0.1554061328132596,7.689566195609084e-05
5217,61,ACTG,2427,0.27751887030947886,0.0001143464648988376
5217,64,ACU,2427,0.02633389633163982,1.0850389918269394e-05
5217,65,ACV,1195,0.08089751436230808,6.769666473833311e-05
5217,66,ACY,2427,0.0612710491488113,2.5245590914219736e-05
5217,67,ADAP,1206,0.16379300928155657,0.00013581509890676333
5217,68,ADBE,2427,0.262842170385802,0.00010829920493852575
5217,69,ADC,2427,0.10612147769665703,4.372537193929008e-05
5217,70,ADES,2427,0.24913861832183887,0.00010265291236993773
5217,71,ADI,2427,0.21522949869137115,8.868129323913108e-05
5217,72,ADIL,393,0.030156816619497553,7.673490233968843e-05
5217,73,ADM,2427,0.1299426599307775,5.354044496529769e-05
5217,74,ADMA,1595,0.06202986561190542,3.889019787580277e-05
5217,75,ADMP,2427,0.11521605414666548,4.747262222771549e-05
5217,76,ADMS,1475,0.18591250303762533,0.00012604237494076294
5217,77,ADNT,840,0.10307578515967483,0.00012270926804723193
5217,78,ADP,2427,0.13021695779154732,5.365346427340228e-05
5217,80,ADRO,1221,0.21026814801774593,0.00017220978543631935
5217,81,ADS,2427,0.17772398031120967,7.322784520445392e-05
5217,82,ADSK,2427,0.30717959611603124,0.000126567612738373
5217,83,ADSW,847,0.023731494105023104,2.80182929221052e-05
5217,84,ADT,524,0.06324753368690848,0.00012070140016585588
5217,85,ADTN,2427,0.25023785307937874,0.00010310583151189894
5217,86,ADUS,2427,0.19293014956327742,7.949326310806651e-05
5217,87,ADVM,1398,0.16453715251241932,0.00011769467275566475
5217,88,ADX,2427,0.14563041169468216,6.000428994424481e-05
5217,90,ADXS,2427,0.18298370785580587,7.539501765793403e-05
5217,91,AE,2427,0.1564341739807109,6.445577831920515e-05
5217,92,AEB,2427,0.03214386138205543,1.324427745449338e-05
5217,93,AEE,2427,0.041634961328465545,1.715490784032367e-05
5217,94,AEF,2427,0.08912727377903694,3.6723227762273154e-05
5217,96,AEG,2427,0.17741321198767052,7.309979892363845e-05
5217,97,AEGN,2427,0.23787686767172017,9.801271844735071e-05
5217,98,AEHR,2427,0.14385931004891894,5.92745406052406e-05
5217,99,AEIS,2427,0.29105145120918047,0.00011992231199389389
5217,100,AEL,2427,0.19288111175717151,7.947305799636238e-05
5217,101,AEM,2427,0.042909228758793605,1.767994592451323e-05
5217,102,AEMD,2427,0.056348053615845446,2.3217162594085475e-05
5217,103,AEO,2427,0.2112747305363096,8.705180491813333e-05
